"pathway","p","t","FDR","description","gene","compartment"
"PWY-5188",NA,NA,NA,"tetrapyrrole biosynthesis I (from glutamate)","mmoX","Heartwood"
"PWY-5189",NA,NA,NA,"tetrapyrrole biosynthesis II (from glycine)","mmoX","Heartwood"
"PWY-5304",NA,NA,NA,"superpathway of sulfur oxidation (Acidianus ambivalens)","mmoX","Heartwood"
"PWY-5345",NA,NA,NA,"superpathway of L-methionine biosynthesis (by sulfhydrylation)","mmoX","Heartwood"
"PWY-5347",NA,NA,NA,"superpathway of L-methionine biosynthesis (transsulfuration)","mmoX","Heartwood"
"PWY-5384",NA,NA,NA,"sucrose degradation IV (sucrose phosphorylase)","mmoX","Heartwood"
"PWY-5392",NA,NA,NA,"reductive TCA cycle II","mmoX","Heartwood"
"PWY-5415",NA,NA,NA,"catechol degradation I (meta-cleavage pathway)","mmoX","Heartwood"
"PWY-5417",NA,NA,NA,"catechol degradation III (ortho-cleavage pathway)","mmoX","Heartwood"
"PWY-5419",NA,NA,NA,"catechol degradation to 2-oxopent-4-enoate II","mmoX","Heartwood"
"PWY-5420",NA,NA,NA,"catechol degradation II (meta-cleavage pathway)","mmoX","Heartwood"
"PWY-5430",NA,NA,NA,"meta cleavage pathway of aromatic compounds","mmoX","Heartwood"
"PWY-5431",NA,NA,NA,"aromatic compounds degradation via &beta;-ketoadipate","mmoX","Heartwood"
"PWY-5484",NA,NA,NA,"glycolysis II (from fructose 6-phosphate)","mmoX","Heartwood"
"PWY-5505",NA,NA,NA,"L-glutamate and L-glutamine biosynthesis","mmoX","Heartwood"
"PWY-5509",NA,NA,NA,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","mmoX","Heartwood"
"PWY-5529",NA,NA,NA,"superpathway of bacteriochlorophyll a biosynthesis","mmoX","Heartwood"
"PWY-5531",NA,NA,NA,"chlorophyllide a biosynthesis II (anaerobic)","mmoX","Heartwood"
"PWY-5651",NA,NA,NA,"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","mmoX","Heartwood"
"PWY-5654",NA,NA,NA,"2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate","mmoX","Heartwood"
"PWY-5659",NA,NA,NA,"GDP-mannose biosynthesis","mmoX","Heartwood"
"PWY-5667",NA,NA,NA,"CDP-diacylglycerol biosynthesis I","mmoX","Heartwood"
"PWY-5676",NA,NA,NA,"acetyl-CoA fermentation to butanoate II","mmoX","Heartwood"
"PWY-5686",NA,NA,NA,"UMP biosynthesis","mmoX","Heartwood"
"PWY-5695",NA,NA,NA,"urate biosynthesis/inosine 5'-phosphate degradation","mmoX","Heartwood"
"PWY-5705",NA,NA,NA,"allantoin degradation to glyoxylate III","mmoX","Heartwood"
"PWY-5741",NA,NA,NA,"ethylmalonyl-CoA pathway","mmoX","Heartwood"
"PWY-5747",NA,NA,NA,"2-methylcitrate cycle II","mmoX","Heartwood"
"PWY-5837",NA,NA,NA,"1,4-dihydroxy-2-naphthoate biosynthesis I","mmoX","Heartwood"
"PWY-5838",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis I","mmoX","Heartwood"
"PWY-5840",NA,NA,NA,"superpathway of menaquinol-7 biosynthesis","mmoX","Heartwood"
"PWY-5845",NA,NA,NA,"superpathway of menaquinol-9 biosynthesis","mmoX","Heartwood"
"PWY-5850",NA,NA,NA,"superpathway of menaquinol-6 biosynthesis I","mmoX","Heartwood"
"PWY-5855",NA,NA,NA,"ubiquinol-7 biosynthesis (prokaryotic)","mmoX","Heartwood"
"PWY-5856",NA,NA,NA,"ubiquinol-9 biosynthesis (prokaryotic)","mmoX","Heartwood"
"PWY-5857",NA,NA,NA,"ubiquinol-10 biosynthesis (prokaryotic)","mmoX","Heartwood"
"PWY-5860",NA,NA,NA,"superpathway of demethylmenaquinol-6 biosynthesis I","mmoX","Heartwood"
"PWY-5861",NA,NA,NA,"superpathway of demethylmenaquinol-8 biosynthesis","mmoX","Heartwood"
"PWY-5862",NA,NA,NA,"superpathway of demethylmenaquinol-9 biosynthesis","mmoX","Heartwood"
"PWY-5863",NA,NA,NA,"superpathway of phylloquinol biosynthesis","mmoX","Heartwood"
"PWY-5896",NA,NA,NA,"superpathway of menaquinol-10 biosynthesis","mmoX","Heartwood"
"PWY-5897",NA,NA,NA,"superpathway of menaquinol-11 biosynthesis","mmoX","Heartwood"
"PWY-5898",NA,NA,NA,"superpathway of menaquinol-12 biosynthesis","mmoX","Heartwood"
"PWY-5899",NA,NA,NA,"superpathway of menaquinol-13 biosynthesis","mmoX","Heartwood"
"PWY-5910",NA,NA,NA,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","mmoX","Heartwood"
"PWY-5913",NA,NA,NA,"TCA cycle VI (obligate autotrophs)","mmoX","Heartwood"
"PWY-5918",NA,NA,NA,"superpathay of heme biosynthesis from glutamate","mmoX","Heartwood"
"PWY-5920",NA,NA,NA,"superpathway of heme biosynthesis from glycine","mmoX","Heartwood"
"PWY-5941",NA,NA,NA,"glycogen degradation II (eukaryotic)","mmoX","Heartwood"
"PWY-5971",NA,NA,NA,"palmitate biosynthesis II (bacteria and plants)","mmoX","Heartwood"
"PWY-5973",NA,NA,NA,"cis-vaccenate biosynthesis","mmoX","Heartwood"
"PWY-5989",NA,NA,NA,"stearate biosynthesis II (bacteria and plants)","mmoX","Heartwood"
"PWY-6071",NA,NA,NA,"superpathway of phenylethylamine degradation","mmoX","Heartwood"
"PWY-6121",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis I","mmoX","Heartwood"
"PWY-6122",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis II","mmoX","Heartwood"
"PWY-6123",NA,NA,NA,"inosine-5'-phosphate biosynthesis I","mmoX","Heartwood"
"PWY-6125",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis II","mmoX","Heartwood"
"PWY-6126",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis II","mmoX","Heartwood"
"PWY-6147",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","mmoX","Heartwood"
"PWY-6151",NA,NA,NA,"S-adenosyl-L-methionine cycle I","mmoX","Heartwood"
"PWY-6163",NA,NA,NA,"chorismate biosynthesis from 3-dehydroquinate","mmoX","Heartwood"
"PWY-6182",NA,NA,NA,"superpathway of salicylate degradation","mmoX","Heartwood"
"PWY-6185",NA,NA,NA,"4-methylcatechol degradation (ortho cleavage)","mmoX","Heartwood"
"PWY-621",NA,NA,NA,"sucrose degradation III (sucrose invertase)","mmoX","Heartwood"
"PWY-6263",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis II","mmoX","Heartwood"
"PWY-6269",NA,NA,NA,"adenosylcobalamin salvage from cobinamide II","mmoX","Heartwood"
"PWY-6277",NA,NA,NA,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","mmoX","Heartwood"
"PWY-6282",NA,NA,NA,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","mmoX","Heartwood"
"PWY-6317",NA,NA,NA,"galactose degradation I (Leloir pathway)","mmoX","Heartwood"
"PWY-6353",NA,NA,NA,"purine nucleotides degradation II (aerobic)","mmoX","Heartwood"
"PWY-6383",NA,NA,NA,"mono-trans, poly-cis decaprenyl phosphate biosynthesis","mmoX","Heartwood"
"PWY-6385",NA,NA,NA,"peptidoglycan biosynthesis III (mycobacteria)","mmoX","Heartwood"
"PWY-6386",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","mmoX","Heartwood"
"PWY-6387",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","mmoX","Heartwood"
"PWY-6396",NA,NA,NA,"superpathway of 2,3-butanediol biosynthesis","mmoX","Heartwood"
"PWY-6397",NA,NA,NA,"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","mmoX","Heartwood"
"PWY-6467",NA,NA,NA,"Kdo transfer to lipid IVA III (Chlamydia)","mmoX","Heartwood"
"PWY-6470",NA,NA,NA,"peptidoglycan biosynthesis V (&beta;-lactam resistance)","mmoX","Heartwood"
"PWY-6471",NA,NA,NA,"peptidoglycan biosynthesis IV (Enterococcus faecium)","mmoX","Heartwood"
"PWY-6478",NA,NA,NA,"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","mmoX","Heartwood"
"PWY-6507",NA,NA,NA,"4-deoxy-L-threo-hex-4-enopyranuronate degradation","mmoX","Heartwood"
"PWY-6519",NA,NA,NA,"8-amino-7-oxononanoate biosynthesis I","mmoX","Heartwood"
"PWY-6545",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis III","mmoX","Heartwood"
"PWY-6562",NA,NA,NA,"norspermidine biosynthesis","mmoX","Heartwood"
"PWY-6588",NA,NA,NA,"pyruvate fermentation to acetone","mmoX","Heartwood"
"PWY-6608",NA,NA,NA,"guanosine nucleotides degradation III","mmoX","Heartwood"
"PWY-6609",NA,NA,NA,"adenine and adenosine salvage III","mmoX","Heartwood"
"PWY-6612",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis","mmoX","Heartwood"
"PWY-6628",NA,NA,NA,"superpathway of L-phenylalanine biosynthesis","mmoX","Heartwood"
"PWY-6629",NA,NA,NA,"superpathway of L-tryptophan biosynthesis","mmoX","Heartwood"
"PWY-6630",NA,NA,NA,"superpathway of L-tyrosine biosynthesis","mmoX","Heartwood"
"PWY-6641",NA,NA,NA,"superpathway of sulfolactate degradation","mmoX","Heartwood"
"PWY-6660",NA,NA,NA,"2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","mmoX","Heartwood"
"PWY-6662",NA,NA,NA,"superpathway of quinolone and alkylquinolone biosynthesis","mmoX","Heartwood"
"PWY-6690",NA,NA,NA,"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate","mmoX","Heartwood"
"PWY-6700",NA,NA,NA,"queuosine biosynthesis","mmoX","Heartwood"
"PWY-6703",NA,NA,NA,"preQ0 biosynthesis","mmoX","Heartwood"
"PWY-6708",NA,NA,NA,"ubiquinol-8 biosynthesis (prokaryotic)","mmoX","Heartwood"
"PWY-6713",NA,NA,NA,"L-rhamnose degradation II","mmoX","Heartwood"
"PWY-6728",NA,NA,NA,"methylaspartate cycle","mmoX","Heartwood"
"PWY-6737",NA,NA,NA,"starch degradation V","mmoX","Heartwood"
"PWY-6876",NA,NA,NA,"isopropanol biosynthesis","mmoX","Heartwood"
"PWY-6891",NA,NA,NA,"thiazole biosynthesis II (Bacillus)","mmoX","Heartwood"
"PWY-6892",NA,NA,NA,"thiazole biosynthesis I (E. coli)","mmoX","Heartwood"
"PWY-6895",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis II","mmoX","Heartwood"
"PWY-6897",NA,NA,NA,"thiamin salvage II","mmoX","Heartwood"
"PWY-6901",NA,NA,NA,"superpathway of glucose and xylose degradation","mmoX","Heartwood"
"PWY-6944",NA,NA,NA,"androstenedione degradation","mmoX","Heartwood"
"PWY-6969",NA,NA,NA,"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","mmoX","Heartwood"
"PWY-7003",NA,NA,NA,"glycerol degradation to butanol","mmoX","Heartwood"
"PWY-7007",NA,NA,NA,"methyl ketone biosynthesis","mmoX","Heartwood"
"PWY-7090",NA,NA,NA,"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","mmoX","Heartwood"
"PWY-7094",NA,NA,NA,"fatty acid salvage","mmoX","Heartwood"
"PWY-7111",NA,NA,NA,"pyruvate fermentation to isobutanol (engineered)","mmoX","Heartwood"
"PWY-7159",NA,NA,NA,"chlorophyllide a biosynthesis III (aerobic, light independent)","mmoX","Heartwood"
"PWY-7184",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis I","mmoX","Heartwood"
"PWY-7187",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis II","mmoX","Heartwood"
"PWY-7196",NA,NA,NA,"superpathway of pyrimidine ribonucleosides salvage","mmoX","Heartwood"
"PWY-7197",NA,NA,NA,"pyrimidine deoxyribonucleotide phosphorylation","mmoX","Heartwood"
"PWY-7199",NA,NA,NA,"pyrimidine deoxyribonucleosides salvage","mmoX","Heartwood"
"PWY-7200",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleoside salvage","mmoX","Heartwood"
"PWY-7208",NA,NA,NA,"superpathway of pyrimidine nucleobases salvage","mmoX","Heartwood"
"PWY-7211",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","mmoX","Heartwood"
"PWY-7219",NA,NA,NA,"adenosine ribonucleotides de novo biosynthesis","mmoX","Heartwood"
"PWY-7220",NA,NA,NA,"adenosine deoxyribonucleotides de novo biosynthesis II","mmoX","Heartwood"
"PWY-7221",NA,NA,NA,"guanosine ribonucleotides de novo biosynthesis","mmoX","Heartwood"
"PWY-7222",NA,NA,NA,"guanosine deoxyribonucleotides de novo biosynthesis II","mmoX","Heartwood"
"PWY-7228",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis I","mmoX","Heartwood"
"PWY-7229",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis I","mmoX","Heartwood"
"PWY-7234",NA,NA,NA,"inosine-5'-phosphate biosynthesis III","mmoX","Heartwood"
"PWY-7237",NA,NA,NA,"myo-, chiro- and scillo-inositol degradation","mmoX","Heartwood"
"PWY-7242",NA,NA,NA,"D-fructuronate degradation","mmoX","Heartwood"
"PWY-7254",NA,NA,NA,"TCA cycle VII (acetate-producers)","mmoX","Heartwood"
"PWY-7255",NA,NA,NA,"ergothioneine biosynthesis I (bacteria)","mmoX","Heartwood"
"PWY-7295",NA,NA,NA,"L-arabinose degradation IV","mmoX","Heartwood"
"PWY-7315",NA,NA,NA,"dTDP-N-acetylthomosamine biosynthesis","mmoX","Heartwood"
"PWY-7323",NA,NA,NA,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","mmoX","Heartwood"
"PWY-7328",NA,NA,NA,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","mmoX","Heartwood"
"PWY-7332",NA,NA,NA,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","mmoX","Heartwood"
"PWY-7347",NA,NA,NA,"sucrose biosynthesis III","mmoX","Heartwood"
"PWY-7371",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis II","mmoX","Heartwood"
"PWY-7374",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis I","mmoX","Heartwood"
"PWY-7376",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)","mmoX","Heartwood"
"PWY-7392",NA,NA,NA,"taxadiene biosynthesis (engineered)","mmoX","Heartwood"
"PWY-7400",NA,NA,NA,"L-arginine biosynthesis IV (archaebacteria)","mmoX","Heartwood"
"PWY-7431",NA,NA,NA,"aromatic biogenic amine degradation (bacteria)","mmoX","Heartwood"
"PWY-7446",NA,NA,NA,"sulfoglycolysis","mmoX","Heartwood"
"PWY-7539",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","mmoX","Heartwood"
"PWY-7560",NA,NA,NA,"methylerythritol phosphate pathway II","mmoX","Heartwood"
"PWY-7616",NA,NA,NA,"methanol oxidation to carbon dioxide","mmoX","Heartwood"
